State,Name,Location
Lagos,J.A. Lashman Hospital,Ogba
Lagos,Jefis Specialist Hospital Ltd,Agege
Lagos,Kaaf Medical Laboratory And Maternity Centre,Lagos-Mainland 
Lagos,Kiladejo Medical Centre,"15, PPL Road, Okokomaiko"
Lagos,Krown Hospital &Maternity Centre,Iyana-Ipaja
Lagos,Ladi-Lak Medical Centre,"Ladi-lak,Barriga"
Lagos,Lex Medical Centre,"5, RALIAT ALABI STREET, IYANA MEIRAN, IJAIYE-OJOKORO, LAGOS"
Lagos,Longing Medical Centre,Ijaiye
Lagos,Lota Medical Centre,Isheri-Olofin
Lagos,Mercy Thomas Oredugba Medical And Dental Centre,Surulere
Lagos,"Mucas Hospital Limited,",Dopemu
Lagos,Nusamin Clinic And Hospital Limited,Surulere
Lagos,"Osuntuyi Medical Centre, Iju",Ijumu 
Lagos,"Osuntuyi Medical Centre, Obanikoro",Obanikoro
Lagos,Petros Foundation Hospital,"20, Seinde Calisto str., off Mile 2-Oshodi Exp/Way, oshodi"
Lagos,Promise Medical Centre - Dopemu,"132, Dopemu road, Dopemu Agege, Lagos"
Lagos,Rophe Medical Centre,Agbara
Lagos,Safeway Hospital And Maternity,"Km 46, Lekki-Epe Express way Sangotedo, Lagos"
Lagos,Samaria Hospital,Okota
Ogun,Shirish Clinic,"Okoh crescent, powerline, off maltina road, beside jacob school, sango otta, Ogun state."
Lagos,Smith Medical Centre,"No 8 Afric Road, Off Funsho Williams Avenue (Western Avenue), Olaleye Estate, Iponri, Surulere, Lagos"
Lagos,St Raphael Hospital Ltd,"114, Lateef Adegboyega Street, Off Ago Okota Palace Way, Okota, Lagos"
Lagos,St. Louis Medical Centre,Apapa
Lagos,St. Luke's Hospital-LAGOS,Yaba
Lagos,"St. Mary'S Specialist Hospital, Ojodu",Ojodu-Berger
Lagos,St. Raphael Divine Mercy Specialist Hospital,"Along Ijede Road, Ikorodu Lagos State"
Lagos,Subol Hospital,Idimu
Lagos,The Brighthope Specialist Hospitals,"530, Lateef Jakande Road, Agidingbi, Ikeja, Lagos."
Lagos,Topaz Clinic & Maternity,Surulere
Lagos,Veta Hospitals Ltd,"1, Veta Close, Araromi B/Stop, Lagos-Abeokuta Exp., Iyana Ipaja"
Lagos,Victoria Memorial Clinic And Maternity - Lagos,Agbara
Lagos,Arubah Family Medical Centre,"9, Kudirat Salami Street, Agungi Lekki, Lagos."
Lagos,Mount Sinai Hospital - Egbe,Egbe
Lagos,Shepherd Specialist Hospital(festac),"Plot 1619, 4th Avenue, E Close, opposite Mobil Petrol Station, Festac Town"
Lagos,We Care Hospital,"1, Oguntona Crescent, Gbagada Phase 1,  Lagos State"
Lagos,Primrose Specialist Hospital,"4 OLUSOLA OLUDE CLOSE, OFF LANRE AWOLOKUN, Gbagada Phase 2, Lagos"
Lagos,Deji Clinic - Iju Ishaga,Iju
Lagos,Duro Soleye Hospital,Ikeja
Lagos,Deseret International Hospital,"12,Sobo Arobiodu Street, G.R.A, Ikeja, Lagos"
Lagos,Oladapo Hospital,Ikorodu
Lagos,Outreach Children's Hospital- Okota,"123 OKOTA ROAD, OPP. SLOT, OKOTA, LAGOS"
Lagos,Ayo Clinic,Ketu
Lagos,Elegbeleye Specialist Hospital,Ketu
Lagos,Yomi Clinic,Ketu
Lagos,Mount Sinai Hospital - Mushin,Mushin
Lagos,Caremax Hospital,"No. 12 Asajon Street, Sangotedo Off Lekki Epe Express Way Lagos State"
Lagos,AB Specialist Hospital,Surulere
Lagos,Mount Sinai Hospital - Surulere,"30, Falolu Street, Surulere"
Lagos,Uwemedimo Hospital,Surulere
Lagos,Parklande Hospital,"13, Razaq Balogun Street, Surulere, Lagos"
Lagos,Macedonia Specialist Hospital,"28, Ijaiye Road, Ogba, Lagos"
Lagos,Ropheka Hospital,Egbeda
Lagos,Holy Trinity Hospital,Ikeja
Lagos,Alpha Central Hospital and Maternity,Alimosho
Lagos,St. Edward Specialist hospital and Cardiac Centre,"4, Dolapo Oshinaike Street, Off Addo Road, Ajah, Lagos"
Lagos,Avon Clinic,Lagos-Island
Lagos,CHION Hospital,Maryland
Lagos,Dolu Hospital,Oshodi-Isolo
Lagos,Oohbee Hospital,"1, Kudaki Road, Hostel B/stop, Egbe, Alimosho, Lagos"
Lagos,Prince and Princess Hospital - Apapa,"191, Ojo Road, Ligali Bus Stop. Ajegunle- Apapa"
Lagos,Prince and Princess Hospital - Egbeda,"12th Road, Gowon Estate, Egbeda"
Lagos,DR ABIMBOLA AWOLIYI MEMORIAL HOSPITAL,Lagos-Island
Lagos,CHILDKID CHILDREN HOSPITAL,Ogudu
Ogun,St. Shiloh Medical Centre,"2, Popoola Street, Igbala, Sango Otta"
Lagos,Fame Medical Services,Sango-Ota
Lagos,Dove Hospital,"Adewale Bust Stop, Badore, Ajah, Lagos."
Lagos,SONEX CLINICS LTD,Olodi-Apapa
Oyo,Molly Specialist Hospital,"6, American Quarters, yidi, Agodi G.R.A., Ibadan"
Oyo,Oke Ado Hospital,"Sw7/217 Ibukun-olu Street, beside allayande school of science Oke -Ado Ibadan."
Oyo,Beta Life Hospital And Maternity Home- Oke Ado,Ibadan
Lagos,Magna carta health limited,Ikoyi
Lagos,Guardian Health limited,182 EKORO ROAD BY UPSTAIRS  BUS STOP ABULE EGBA LAGOS
Lagos,Silkin Hospital,Ogba
Lagos,Peachcare Medical Centre,Ogudu
Lagos,Pharcept Hospital,Ikorodu
Lagos,Optimal Specialist Hospitals Ltd,"9, Gbaja Street, Surulere, Lagos."
Lagos,MARY ADE SPECIALIST HOSPITAL,"Plot 24, Shittu Animashaun Street, off Joguoni Street, Gbagada Phase 2, Lagos."
Lagos,Mercygate Hospital,Egbeda
Oyo,Unity Medical Centre,"Eleyele Road, Eleyele Ibadan"
Lagos,Jobi  Clinic and Maternity,Ikorodu
Lagos,Prince of Peace Hospital & Maternity Centre,"3, Omo Oba Shibajo Way, Agbede Transformer, Ita Oluwo Road, Ikorodu"
Lagos,Fineview Specialist Hospital,ELEBIJU BUS STOP
Lagos,INLAND SPECIALIST HOSPITAL- KETU,"11, BOLA OWODUNNI STREET BEHIND ESKAY FILLING STATION, ALAPERE, KETU."
Ogun,RUBEE MEDICAL CENTER,"Km 38, Abeokuta Motor Road, Sango-Otta"
Lagos,G&S medical and dental Hospital,"15, Muyibi Street, 1st Junction Bus Stop, Oke Ira Road, Aguda, opposit Excellence hotel ogba, Lagos"
Lagos,Solid Rock Hospital,Ojodu-Berger
Abuja (FCT),Unity Clinics and Maternity,"PLOT D1, PHASE 2, GADO NASCO WAY, KUBWA, ABUJA"
Abuja (FCT),Jethrone Hospital And Diagnostic Cetre,"PLOT 44, NYSC ROAD, GBAZANGO BY FRSC, KUBWA, ABUJA"
Abuja (FCT),Pison Hospital,KUBWA
Abuja (FCT),St Catherine's Specialist Hospital- Abuja,"6, ODIENNA CLOSE, OFF LIBREVILLE STREET, OFF AMINU KANO CRESCENT, WUSE II, ABUJA."
Abuja (FCT),Dara Clinics,ABUJA
Abuja (FCT),Prime care Hospital,"PLOT 75, ROAD 321, OFF 3RD AVENUE, GWARIMPA"
Abuja (FCT),Amana Medical Centre,"No 5, ilorin Street, off Ogbomosho street Area 8, Garki, Abuja ( After chicken Republic and Tonia pharmacy, take left at the junction)"
Abuja (FCT),Alliance Clinics and Services- area 11,"PLOT 801, NO 5, MALUMFASHI CLOSE, OFF EMEKA ANYAOKU STREET, AREA 11 (ELEVEN), GARKI, ABUJA."
Abuja (FCT),Zitadel Medical And Diagnostic Centre,"PLOT 417 FIRST AVENUE, GWARIMPA, ABUJA"
Oyo,Badejoko Hospital,Mokola
Oyo,Bethel Specialist Hospital,Mokola
Oyo,Group Medical practitioners ltd Hospital,"MOKOLA ROUNDABOUT, IBADAN, OYO STATE"
Oyo,Kejide Specialist Hospital,"SW9/704A, ELEWURA STREET, CHALLENGE, IBADAN, OYO STATE"
Oyo,Lanark Specialist Hospital,"8 WURAOLA ESAN CLOSE OFF NEW ADEOYO STATE HOSPITAL ROAD RING ROAD IBADAN, OYO STATE"
Oyo,Redeemers Health centre- ibadan,"37, AWOLOWO AVENUE BODIJA, IBADAN, OYO STATE"
Oyo,ST ANNE'S HOSPITAL,"9, MOREMI ROAD, OFF AARE AVENUE, BODIJA, IBADAN,OYO STATE"
Oyo,Teju Specialist Hospital,"6, ALH. ANIMASHAUN STREET, RING ROAD, IBADAN, OYO STATE"
Oyo,The Vine Hospital And Maternity Centre,"Plot 10 BLOCK 24,ALAFIN AVENUE ,OLUYOLE EXTENSION, IBADAN, OYO STATE"
Niger,suzan memorial clinic and maternity,"UPHILL SULEJA, NEAR SULEJA CLUB, G.R.A. NIGER STATE"
Kwara,Olanrewaju Hospital,Kwara
Oyo,Tobi Medical Centre,"s5/473 Felele Layout, ibadan"
Oyo,Toun Memorial Hospital,km 1/2 New ife road ibadan
Nasarawa,Adonai Hospital,"2, ADONAI CLOSE, OFF OLD KARU ROAD"
Nasarawa,Nasara Hospital and Maternity,Keffi
Nasarawa,"Our Lady of Apostle Hospital, Akwanga","P.O. Box 35, Akwanga, Nassarawa State."
Plateau,Samantha Lucille Hospital,Jos North
Plateau,Parkview Family Medicine Royal Hospital,"1, DOMKAT BALI WAY BY SOLOMON LAR AMUSEMENT PARK, JOS, PLATEAU STATE"
Borno,Nakowa Specialist Hospital,"16, Lagos Street Maiduguri"
Kogi,Poly Hospital & Maternity Home,"4, Janet Ekundayo Road, G.R.A. Lokoja, Kogi State"
Kogi,Hillcrest Hospital and Maternity,Lokoja
Delta,Pal Clinic,Warri
Delta,Vertimon Clinic,Warri North
Delta,Regal Hospital- warri,Warri North
Delta,"Dayspring Clinic, Warri","PLOT 708 2ND ST DDPA (BENDEL ESTATE), WARRI"
Anambra,Harmony Specialist Hospital Awka Anambra State,Awka
Oyo,Vine Branch Medical Centre,Mokola
Kano,Barewa Clinics And Maternity,Kano
Kano,Excellence Clinics and Maternity,Kano
Kano,Greenlands Specialist Hospital,"49A Sarkin Yaki Noman's Land, kano"
Kano,International Clinics And Hospitals Ltd,Kano
Kano,Ivory Clinic And Maternity,Kano
Kwara,Yusjib Industrial Medicare,Ilorin
Rivers,Acron Medical Consultants,"NO1, ACRON AVENUE, BEHIND 28 STADIUM ROAD, G.R.A. PHASE IV, PORT HARCOURT"
Rivers,Austine Rapha Clinic and Maternity,Port-harcourt
Rivers,Bechs Specialist Hospital,Port-harcourt
Rivers,Corban Medicals Limited,Port-harcourt
Rivers,Datta Medical Centre Limited,"21A Woji Road, off Aba Road, Opposite Genesis FastFood Woji"
Rivers,First Rivers Hospital,"7/9 Old Aba Road, Rumuomasi/250 Aba Expressway PortHarcourt."
Rivers,Kendox Medical Centre,"7, Moses Chinda Avenue, off 194 Old Refinery Road, Elelenwon, Port Harcourt"
Rivers,New Heights Consultants,"Plot 200, Rumuogba Estate by Bridge Bustop Beside Genesis  GuestHouse Rumuogba"
Rivers,Pearl Clinics And Maternity,Port-harcourt
Rivers,Providence Clinic And Maternity,Port-harcourt
Rivers,Raziela Specialist Clinic,"7, William Ajikere Street, Stadium Road, PortHarcourt"
Rivers,Sonabel Medical Centre- Orazi,"No 14, Owabie Road, Mile 4 Market Road, Off Ikwere Road, Orazi PortHarcourt"
Edo,Maviscope  Hospital And Fertility Centre,Sapele
Lagos,Soteria Maternity And Hospital,"Plot 2B, CLAM Avenue, Off Omole, Ikeja, Lagos"
Abuja (FCT),Queens Clinic Limited,WUSE
Abuja (FCT),Kings Care Hospital- WUSE,"PLOT 2181,IBB WAY WUSE ZONE 4 , ABUJA"
Abuja (FCT),Kings Care Hospital -Mararaba,"2, KINGSCARE CRESCENT, MARARABA, ABUJA"
Abuja (FCT),Dr Hassan's Hospital And Diagnostics Centre,"Close to Farmers Market, Behind I G House"
Abuja (FCT),The Limi Hospital,"PLOT 1487, LEE MOSES ISEKO STREET, CBD, ABUJA"
Lagos,Medison Specialist Women Hospital,"18b, Olatunji Moore street, off TF Kuboye, Lekki Phase 1"
Rivers,Clean Springs Specialist Hospital,Port-harcourt
Rivers,Meridian Hospital,"21 IGBOKWE STREET, D/LINE,PORT HARCOURT, RIVERS STATE"
Rivers,Pamo Clinics And Hospital,"NO 300 ABA ROAD, RUMUOMASI PORT HARCOURT."
Rivers,Mindaid Hospital,"No.  8 rumuogba estate road,  Port Harcourt"
Rivers,Paragon Clinics And Imaging,"96, Stadium Road, Portharcourt"
Rivers,Shawsand Medical Centre,"KM 14, PORTHARCOURT-ABA EXPRESSWAY"
Rivers,ST. Catherine's Specialist Hospital -Rivers,"14, TRANS WOJI ROAD, WOJI PORT HARCOURT"
Rivers,Tehilah Children Hospital,Port-harcourt
Rivers,Ultimate Specialist Clinic And Hospital,"NO 67, ROYAL AVENUE, OFF PETER ODILI, ABULOMA-OKURU LINK ROAD, PORT HARCOURT"
Rivers,Sonabel Medical Centre - Eleme,Port-harcourt
Lagos,ST DANIEL HOSPITAL- Lagos,Gbagada
Delta,ICON HOSPITAL,"303, NNEBISI RD, ASABA, DELTA STATE"
Delta,St Lukes Hospital -ASABA,Asaba
Delta,KOWA CLINICS,Ugheli
Delta,UFOR HOSPITAL,"Uloho Avenue, Ughelli"
Delta,BRYANT HOSPITAL LIMITED,Warri
Delta,BU CLINIC / HOSPITAL LIMITED,Warri
Delta,CAPITOL HILL HOSPITAL,Warri
Delta,HEALING STREAMS CLINICS AND MATERNITY,ROAD BEHIND ECO BANK BY DECO ROAD TOWARDS IGBUDU M
Delta,LILY HOSPITAL-WARRI,"6 BRISBE STREET, OFF ETUWEWE ROAD OFF DECO ROAD, WARRI DELTA STATE"
Delta,WESTEND  HOSPITAL,Warri
Delta,TWINS CLINIC & MATERNITY,Warri North
Abuja (FCT),Kings Care Hospital- KUBWA,"NO 7 CHRISTMAS STREET, PHASE IV, KUBWA"
Lagos,FaithHills Specialist Hospital,Iyana-Ipaja
Lagos,Citizen Medical Centre,Ikoyi
Lagos,Grover Medical's Lifestyle clinic,Lagos Island
Lagos,Preston Hospital,Lekki-Ajah
Lagos,Lagos executive cardiovascular clinic (LECC),Lekki-Ajah
Lagos,Triumph Medical Centre,Ikeja
Lagos,Layole and sons hospital limited,Ogba
Lagos,Derabs Medical Center,Ikorodu
Abuja (FCT),LOUIS PASTEUR HOSPITAL COMPLEX LTD,"813C, 64 CRESCENT, GWARINPA 2 ESTATE, MAP GLOBAL JUNCTION, ABUJA"
Abuja (FCT),DEDA HOSPITAL,"Along Katampe Road, beside ABC cargo, Jahi, ABUJA"
Abuja (FCT),CHILDCARE AND WELLNESS CLINICS,"26, ANTHONY ENAHORO STREET, UTAKO, ABUJA."
Abuja (FCT),HI-FI HOSPITAL,"Plot 1207, Trans Engineering Layout, Dawaki, Abuja."
Abuja (FCT),MICHAEL CROSS SPECIALIST HOSPITAL,"Karu, Abuja     phone no  08026378305, 08144960037"
Kogi,OMEIZA ALI HOSPITAL,Lokoja
Anambra,Mercy Specialist Hospital And Maternity,Onitsha
Kwara,Delnik Hospital,Ilorin
Kwara,OLALOMI HOSPITAL-ILORIN,"28, Stadium Road Ilorin"
Kwara,SADIKU HOSPITAL,Ilorin
Kaduna,SALVATION HOSPITAL - KADUNA,"20, MAYERE ROAD, BARNAWA PHASE II, KADUNA."
Kaduna,SEFA SPECIALIST HOSPITAL,"3, COLLEGE ROAD, KADUNA"
Osun,Oba Adenle Memorial Hospital,"FC7, Oke Ayeso Street, Ilesha, Osun State"
Osun,"APEX MEDICAL CENTRE, ILE-IFE","133, ibadan road, ile-ife."
Osun,LAUTECH TEACHING HOSPITAL,Oshogbo
Osun,ONWARD HOSPITAL,"Agunbelewo Ilobu Road, Agunbelewo, Osogbo, Osun, Nigeria"
Ekiti,UNIQUE CONSULTANTS HOSPITAL,"20, Hospital road,  Adebayo, Ado-Ekiti ( close to christ's school)"
Ekiti,EDEN LIFE HOSPITAL SPECIALIST HOSPITAL,Ekiti
Borno,BORNO MEDICAL CLINIC,Maiduguri
Borno,ZAMAN CLINICS,Maiduguri
Lagos,Zoe Medical Centre,Ikeja
Lagos,St Ives Specialist- opebi,12 Salvation road Opebi
Lagos,Care givers hospital,Badagry 
Lagos,God’s Favorite Medical Centre,Badagry 
Lagos,Adebayo Living Tower Hospital,Badagry 
Lagos,CHRIST FOUNDATION HOSPITAL,"82  ALHAJA SINOTU AJAYI ROAD, MOROGBO AGBARA, LAGOS"
Lagos,Ibijola Medical center,Agbara
Lagos,St Ives Specialist- ikoyi,6 Maitama Sule Street Off Awolowo Road Ikoyi
Lagos,St Ives Specialist Family clinic- akowonjo,"129 Akowonjo Road, Akowonjo, Lagos."
Lagos,Light Hospital and Maternity,Alimosho
Lagos,COTTAGE MEDICARE HOSPITAL,Yaba
Lagos,Bridge clinic Medical Centre- ikeja,Ikeja
Lagos,Bridge Medicentre- Ikotun,Ikotun
Ondo,Hopeland Specialist Medical Centre,Akure
Ondo,First Mercy Specialist Hospital,"19c, Gbogi street, off oyemekun road"
Abuja (FCT),Green Acres Hospital Ltd,"1, ALIYU BABANGIDA STREET, SUNNY VALE HOMES, ABUJA."
Abuja (FCT),Rouz Hospital And Maternity Ltd,Apo
Abuja (FCT),Excel Specialist Hospital and Fertility Center,Abuja Municipal
Abuja (FCT),Sybron Medical Centre,"25, MUNGO PARK CLOSE, ASOKORO EXT, ABUJA."
Abuja (FCT),Peniel Eye Clinic and Surgery,"4B, Mwanza close, off Idimba Str, Wuse Zone3, Abuja."
Abuja (FCT),Tolbert Specialist Hospital,No  17 Democracy Crescent Gaduwa Estate Abuja Nigeria
Abuja (FCT),GUINEA SAVANNAH MEDICAL CENTRE,Garki 2
Abuja (FCT),Fereprod Medical Centre,"OBBO CRESCENT, OFF AHMADU BELLO WAY GARKI"
Abuja (FCT),Angelic Care Hospital,GARKI
Abuja (FCT),ST MARYS CATHOLIC HOSPITAL,Gwagwalada
Abuja (FCT),Medimax Hospital,Garki
Abuja (FCT),The Peake Specialist Hospital (Salama Infirmary),"NO 24, 64 CRESCENT, OFF CHARLY BOY BOULEVARD, GWARIMPA"
Abuja (FCT),Arewa Specialist Hospital,Jabi
Adamawa,Newboshang Hospital,Yola
Anambra,Toronto Hospital,Onitsha
Bayelsa,GLORYLAND-I.N.R.I. MEDICAL CENTRE,Yenogoa
Bayelsa,Tobis Clinic and Consultants,"KM 14, CHIEF MELFORD OKILO ROAD,AKENFA, YENAGOABAYELSA STATE"
Delta,Liberal clinic,Sapele
Delta,Sage Clinic,"29,OKERE/ UGBORIKOKO ROAD WARRI, DELTA"
Delta,Fairview Hospital,Warri south/warri
Ekiti,MATERNAL AND CHILD SPECIALIST CLINICS,"Block 1,2,3, Adebayo Estate, Former UNAD Health Centre, Adebayo, Iworoko Road,(Beside SLOT shop). @ Behind Immigration Office,off Polytecnic Road Ado-Ekiti"
Ekiti,ADE-TADE HOSPITAL,"55, OKEBOLA STREET"
Abuja (FCT),Softshell Specialist Hospital,KUBWA
Lagos,Rem-Yems Hospital ltd,Alagbado
Lagos,Mayriamville Medical center,"144, Bode Thomas , surulere , Lagos"
Kaduna,Almadina Hospital,"28 QUEEN ELIZABETH ROAD, GRA ZARIA"
Kaduna,Salama Infirmary (Hospital & Maternity),"2,SOKOTO ROAD, KWANGLA JUNCTION"
Kaduna,Chasel Hospital,"15A, Isa kaita Road, Kaduna"
Kaduna,Harmony Hospital-KADUNA,"74. Narayi road, opposite space 2000  BARNAWA GRA KADUNA"
Kaduna,Horeb Specialist Hospital Ltd.,"MD 7/8, AHMED ROAD, (BEHIND POWA SHOPPING COMPLEX) OFF CONSTITUTION ROAD, KADUNA."
Katsina,"Federal Teaching Hospital, Katsina",Katsina
Katsina,K-Dara Specialist Hospital Katsina,Katsina
Kogi,"Niger Hospital, Lokoja",Lokoja
Kwara,Adeyemo Hospital,Omu-Aran
Niger,Top Medical Centre,Tunga
Ogun,First Alpha Medical Centre,"11-13,KUFORIJI - OLUBI DRIVE, ADIGBE, ABEOKUTA"
Ogun,Itunu Hospital,Abeokuta
Ogun,O and A Medical centre Ltd.,Abeokuta South
Ogun,Balda Hospital,Akute
Ogun,Kingsmith Hospital & Maternity,12 OJODU BERGER STREET AKUTE
Ogun,Comfort Clinic and Maternity,"3, Ganiyu Ayinla street, off celestial avenue, Ereko quaters , Ibafo, ogun state"
Ogun,Amazing Grace Clinic- ijebu ode,"NO 7 ILORO STREET,OFF NEW ROAD,IJEBU ODE"
Ogun,Olu-Ola Hospital,"NO 12B ODEOGBO STREET,IJEBU ODE"
Ogun,Abundant Life Hospital Ltd.,Ijebu-ode
Ogun,Beachland Specialist Hospital,"16, AL-FRIDAUS ESTATE, AREPO. OFF LAGOS-IBADAN EXPRESS WAY, OGUN STATE."
Oyo,The Redeemers Health Centre-ogun state,Redemption camp
Ogun,Promise Medical Centre-sango,Sango-Ota
Ogun,El- Bethel Medical centre- Ogun,"31 dantajira street, sabo , sagamu , ogun state"
Ogun,Imperial Specialist Hospital,Sagamu
Ogun,Owokoniran Memorial Hospital,"3, Owokoniran Street, Station Makun, Sagamu, Ogun State"
Ogun,Alpha Clinic,Sagamu
Ogun,MEDYTOP SPECIALIST HOSPITAL,Sagamu
Oyo,Ireti Oluwa Hospital,"sawmill Area, Apake, Ogbomoso"
Oyo,Shalom Medical Centre,"Sabo Area, Ogbomoso"
Ondo,Christ Hospital,Owo
Rivers,Atinu Critical Care Hospital,Port-harcourt
